mass,spreading,edge,movement,vibration,living,gesture,structures,placeholder,form/quality,mass_phrases,spreading_phrases,edge_phrases,movement_phrases,vibration_phrases,living_phrases,gesture_phrases,structures_phrases,placeholder_phrases,form_phrases
bodies ,mince,border-crossing,potential / chance ,trauma  ,living,touch,calculation ,hospitality,entanglement ,virus bodies,"wood shavings luncheon meat, reformed meat","boundaries of knowledge, how knowledge is structured",modern explanations of the unexplainable by chance,trauma of institution,socially alive,altar - work surface,math and spirituality,body and food as sites of knowledge,interrupting rhythms
body parts,tumour ,connective tissues,across,wound,4D,control,date,occupy as process,elasticity ,my body is sensual to surroundings,efforts being put into connection amongst,barrier from individual to whole,"There is a flashforward for when I am old. I have no mental energy to be challenged, interrogated.",sound penetration through history,introvert dirt,strategic non-strategic,5042020,soft toys and cracked bowls,freedom from ruins
host,hole,aperture access,movement,in sync,bio reaction ,consume,speaking  ,breathe trust ,visual ,daily life / objects coerced our bodies into feeling soar / sour,non existence because of shame,liminal,Keep space for the mysterious,wound microorganisms,"plant bathing - experience of totality in the losing head limbs face but a breathing organism, movement brings",consumption of treatment,unspeakable,to what extent do we build wholeness and protect fragments?,"right wrong, rotten, stimulation from outside, words, non language from inside"
vessel,spine / stacks,transition,growth / stretch ,symbiotic,forgive,construct ,ecology,love,proximity,body seen as space for discipline and healing,axis from the ground up,walk past,"Partial connections, players are neither whole or parts",rhymes of music - resonance - cantonese,"It feels more acceptance from my head, the distance between look of things and ideology. Knowing things are categorised is a relief.",abstraction exercises - chance - workshops,the structure of kindness,finding space around thoughts,silence lost in words
everyday ,sea,barrier / skin,"projection, lineage ",disturbance,,hold,political paradigm,,improvisation ,socks,support buoyancy,illness trajectory transitions towards normality,nudity in evolution,embarassment kept myself from healing,freedom from ruins,thin material to spread,"boundaries of knowledge, how knowledge is structured",newsletter,embodiment
,labour,,float,high frequency,,grasp,support / solidarity ,,tension,introvert vessel,labour - work - search,published,redefine progress,sounds - breathing pacing,"brown piece of fungi, slotted into linear systems of tight spaces - air bubbles from the ear",gently rock the rolling pins around edges - making skins / bread,the structure that moves people in positive light,receptive,No shadow kick - angels without shadows; Martial arts form - taking inspiration from nature
,juice ,,,embarrassment,,cling,bone / shape / supporting structure,,2D,exhausted bodies,"wood shavings luncheon meat, reformed meat",shoreline,see through intention and motion,complete restriction. Insecurity overwhelms. Obnoxious tongues. ,"dropping into the sea, agitates electrons","cutting hair, cutting nail, act of removal",反骨 skin & bones,story-telling,Lotus root - threads of attachment - spirituality - expanding fragments into sentences
,invitation,,,,,inhabit,"mould, repetition, cloning",,violence / brutality ,"direct engagement with my body, keeps me vulnerable",give rather than serve,boundaries of technological failure,"surfaces, motion. Leeloo walks from the sofa to the table, contamination as collaboration, finding distance, scalability, tiny people in big room.",singing in temples ,resonance and stepping back,"dropping into the sea, agitates electrons",programmed lights,sharing,Interdependency in borrowers; Barrier from individual to whole
,cellular,,,,,spread,position,,jelly / jealous ,storage as a temporary bay,sort out my cell in the larger known entity,peripheral,spiralling -certain ways to move the body lead to reaching certain postures - alignments tendons; moving same way in a different place,"being late, being imperfect for the embrace of others",exhilaration,I like to hoard existence - object - accumulation of capital,oppressive power,food as a medium for holistic practice,violent potential in interdependency
,layered deception ,,,,,rock,naming,,dynamic ,my legs were so rooted helpless and soar,binaries,bit by bit by bit by bit parts are more than their whole. the about. the unconscious. the ignore. Is that what makes the differance?,sliding scale spectrum,high resonance provides limitations within the act of balancing ,action - thing - gesture,"kindness shown towards, able to be","opening up spaces with titles. association with titles, wholes, summaries, naming",preserve and provide,fermentation
,binaries,,,,,removal / peeling,math,,sick / sticky,complete restriction. Insecurity overwhelms. Obnoxious tongues.,life and death,"shifting what is acceptable in different spaces. clubs, living room, camping",Counterbalance - Groved towards a certain way,"fear from irrelevance, fear of people",maybe my hormones are making me sleep better,pruning - editing,transcendental geometry,portable food booth; banner grill charcoal bark,sharing other's people's ideas and surviving with them
,solidarity,,,,,hoard ,astrology,,suspension,反骨 skin & bones,supported to live life with less pain,"Transcribe, transcript, translate. Constantly in these spaces of coding",shift from one kind of violence to another,"shapeshifting, chanting ","aesthetics of piles, neat, clean, mess, comfortable, easy-going",food,15042020,"I breathe through a hot towel, a gauze of wet hot air, runs in between suffocation and soothingness",elasticity of understanding
